PM2.5,PM10,NO2,SO2,CO,Temperature,Humidity,AQI
187.27,274.04,134.54,59.93,6.48,29.0,88.52,239.73
475.36,600.0,159.34,51.37,1.72,39.15,59.4,500.0
366.0,409.17,50.09,28.82,8.72,14.38,74.37,393.17
299.33,400.76,124.97,0.65,6.13,14.54,52.7,342.08
78.01,106.57,114.35,49.62,1.57,29.49,67.25,167.04
78.0,107.57,166.57,28.56,9.62,43.12,45.54,157.53
29.04,43.74,181.22,73.46,5.18,24.52,42.59,112.85
433.09,600.0,2.43,2.39,0.73,21.44,63.37,500.0
300.56,458.51,134.8,58.48,6.27,31.23,57.36,342.98
354.04,579.0,10.37,94.15,2.53,42.57,63.47,477.54
10.29,17.18,109.77,17.44,8.04,39.29,41.5,102.37
484.95,600.0,57.53,47.16,8.18,44.84,47.52,497.96
416.22,600.0,61.36,9.14,9.79,10.79,26.29,495.28
106.17,118.14,70.59,62.57,5.02,13.95,23.92,178.42
90.91,112.46,124.26,55.05,4.55,31.33,39.01,171.15
91.7,101.36,66.81,40.74,7.53,38.72,25.57,174.78
152.12,236.28,146.54,52.14,1.32,19.98,27.78,201.84
262.38,453.55,80.91,89.66,5.47,18.37,80.97,338.14
215.97,274.38,13.67,19.63,5.46,37.54,22.92,269.99
145.61,254.67,156.75,2.26,0.89,11.97,69.42,198.46
305.93,349.43,57.15,86.17,4.18,22.93,40.44,343.47
69.75,122.34,86.55,57.71,8.53,27.7,85.37,164.88
146.07,196.63,137.09,89.07,8.56,29.61,56.37,202.73
183.18,214.5,66.49,59.69,0.99,35.5,42.92,233.05
228.03,328.4,11.32,81.02,0.91,22.42,58.82,276.53
392.59,502.41,74.78,42.97,2.63,31.44,48.65,415.51
99.84,129.73,188.89,74.99,8.75,30.49,62.32,178.03
257.12,338.14,128.35,91.3,1.29,29.17,28.59,306.76
296.21,492.33,134.3,57.21,7.2,32.42,94.77,379.6
23.23,34.31,126.46,18.08,1.01,19.08,51.92,109.9
303.77,400.35,39.8,26.88,6.23,12.96,46.12,339.69
85.26,130.22,83.67,19.86,3.56,14.17,73.27,166.41
32.53,52.08,150.19,24.69,7.89,17.86,47.29,106.71
474.44,600.0,20.27,30.64,2.34,27.51,82.5,500.0
482.82,600.0,55.57,55.51,6.39,39.42,54.07,500.0
404.2,479.1,55.26,58.8,2.36,34.55,73.97,425.29
152.31,186.85,86.4,42.65,7.14,37.62,28.06,204.65
48.84,77.0,196.07,61.54,8.74,22.28,83.46,138.7
342.12,419.78,13.5,8.16,1.27,24.16,75.18,376.0
220.08,322.99,103.74,8.78,8.67,23.78,35.88,270.46
61.02,97.41,35.87,17.18,5.94,16.72,30.9,148.63
247.59,290.87,194.14,51.81,1.27,12.14,43.72,293.43
17.19,25.74,22.66,21.4,4.28,30.68,93.21,61.86
454.66,581.78,80.72,28.33,1.61,44.62,39.26,477.84
129.39,229.54,147.58,40.03,7.0,15.84,54.21,192.72
331.26,476.51,140.91,81.19,7.59,11.63,22.25,364.74
155.86,259.37,84.55,1.39,1.06,37.28,49.79,208.29
260.03,386.19,69.3,64.94,5.06,18.84,62.85,313.12
273.36,309.0,79.52,66.89,8.15,39.04,91.48,325.08
92.43,142.63,52.86,79.87,9.36,34.64,58.76,171.78
484.79,600.0,41.07,93.28,5.14,43.1,81.43,500.0
387.57,589.54,96.61,2.01,9.5,24.31,61.03,488.79
